"date","geo","parent_sector","naics","value"
2010-04-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",109600
2010-04-01,"Alberta","services","Professional, scientific and technical services",150700
2010-04-01,"Alberta","services","Business, building and other support services",71100
2010-04-01,"Alberta","services","Educational services",125100
2010-04-01,"Alberta","services","Health care and social assistance",211600
2010-04-01,"Alberta","services","Information, culture and recreation",82600
2010-04-01,"Alberta","services","Accommodation and food services",135900
2010-04-01,"Alberta","services","Other services (except public administration)",99700
2010-04-01,"Alberta","services","Public administration",92800
2010-05-01,"Alberta","all industries","Total employed, all industries",2027000
2010-05-01,"Alberta","total goods","Goods-producing sector",535900
2010-05-01,"Alberta","goods","Agriculture",53200
2010-05-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",137900
2010-05-01,"Alberta","goods","Utilities",17600
2010-05-01,"Alberta","goods","Construction",198100
2010-05-01,"Alberta","goods","Manufacturing",129100
2010-05-01,"Alberta","total services","Services-producing sector",1491000
2010-05-01,"Alberta","services","Wholesale and retail trade",311500
2010-05-01,"Alberta","services","Transportation and warehousing",109200
2010-05-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",109400
2010-05-01,"Alberta","services","Professional, scientific and technical services",150200
2010-05-01,"Alberta","services","Business, building and other support services",73200
2010-05-01,"Alberta","services","Educational services",124400
2010-05-01,"Alberta","services","Health care and social assistance",213400
2010-05-01,"Alberta","services","Information, culture and recreation",78700
2010-05-01,"Alberta","services","Accommodation and food services",133000
2010-05-01,"Alberta","services","Other services (except public administration)",95900
2010-05-01,"Alberta","services","Public administration",92000
2010-06-01,"Alberta","all industries","Total employed, all industries",2036400
2010-06-01,"Alberta","total goods","Goods-producing sector",539600
2010-06-01,"Alberta","goods","Agriculture",50200
2010-06-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",137000
2010-06-01,"Alberta","goods","Utilities",16900
2010-06-01,"Alberta","goods","Construction",204800
2010-06-01,"Alberta","goods","Manufacturing",130700
2010-06-01,"Alberta","total services","Services-producing sector",1496700
2010-06-01,"Alberta","services","Wholesale and retail trade",311400
2010-06-01,"Alberta","services","Transportation and warehousing",110300
2010-06-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",111000
2010-06-01,"Alberta","services","Professional, scientific and technical services",149000
2010-06-01,"Alberta","services","Business, building and other support services",75800
2010-06-01,"Alberta","services","Educational services",123100
2010-06-01,"Alberta","services","Health care and social assistance",219600
2010-06-01,"Alberta","services","Information, culture and recreation",76600
2010-06-01,"Alberta","services","Accommodation and food services",129400
2010-06-01,"Alberta","services","Other services (except public administration)",98400
2010-06-01,"Alberta","services","Public administration",92100
2010-07-01,"Alberta","all industries","Total employed, all industries",2035600
2010-07-01,"Alberta","total goods","Goods-producing sector",538900
2010-07-01,"Alberta","goods","Agriculture",53200
2010-07-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",140700
2010-07-01,"Alberta","goods","Utilities",17500
2010-07-01,"Alberta","goods","Construction",199800
2010-07-01,"Alberta","goods","Manufacturing",127600
2010-07-01,"Alberta","total services","Services-producing sector",1496700
2010-07-01,"Alberta","services","Wholesale and retail trade",309600
2010-07-01,"Alberta","services","Transportation and warehousing",110100
2010-07-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",110800
2010-07-01,"Alberta","services","Professional, scientific and technical services",145500
2010-07-01,"Alberta","services","Business, building and other support services",73200
2010-07-01,"Alberta","services","Educational services",123000
2010-07-01,"Alberta","services","Health care and social assistance",217400
2010-07-01,"Alberta","services","Information, culture and recreation",76500
2010-07-01,"Alberta","services","Accommodation and food services",132900
2010-07-01,"Alberta","services","Other services (except public administration)",103000
2010-07-01,"Alberta","services","Public administration",94700
2010-08-01,"Alberta","all industries","Total employed, all industries",2035000
2010-08-01,"Alberta","total goods","Goods-producing sector",540600
2010-08-01,"Alberta","goods","Agriculture",52100
2010-08-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",142500
2010-08-01,"Alberta","goods","Utilities",16600
2010-08-01,"Alberta","goods","Construction",202200
2010-08-01,"Alberta","goods","Manufacturing",127200
2010-08-01,"Alberta","total services","Services-producing sector",1494400
2010-08-01,"Alberta","services","Wholesale and retail trade",315700
2010-08-01,"Alberta","services","Transportation and warehousing",111100
2010-08-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",110300
2010-08-01,"Alberta","services","Professional, scientific and technical services",146000
2010-08-01,"Alberta","services","Business, building and other support services",68200
2010-08-01,"Alberta","services","Educational services",125400
2010-08-01,"Alberta","services","Health care and social assistance",216300
2010-08-01,"Alberta","services","Information, culture and recreation",74100
2010-08-01,"Alberta","services","Accommodation and food services",133200
2010-08-01,"Alberta","services","Other services (except public administration)",101100
2010-08-01,"Alberta","services","Public administration",93000
2010-09-01,"Alberta","all industries","Total employed, all industries",2035600
2010-09-01,"Alberta","total goods","Goods-producing sector",547800
2010-09-01,"Alberta","goods","Agriculture",50100
2010-09-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",145000
2010-09-01,"Alberta","goods","Utilities",17300
2010-09-01,"Alberta","goods","Construction",206600
2010-09-01,"Alberta","goods","Manufacturing",128800
2010-09-01,"Alberta","total services","Services-producing sector",1487800
2010-09-01,"Alberta","services","Wholesale and retail trade",323200
2010-09-01,"Alberta","services","Transportation and warehousing",106200
2010-09-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",107700
2010-09-01,"Alberta","services","Professional, scientific and technical services",141700
2010-09-01,"Alberta","services","Business, building and other support services",74300
2010-09-01,"Alberta","services","Educational services",122100
2010-09-01,"Alberta","services","Health care and social assistance",212800
2010-09-01,"Alberta","services","Information, culture and recreation",75000
2010-09-01,"Alberta","services","Accommodation and food services",136000
2010-09-01,"Alberta","services","Other services (except public administration)",98200
2010-09-01,"Alberta","services","Public administration",90700
2010-10-01,"Alberta","all industries","Total employed, all industries",2046600
2010-10-01,"Alberta","total goods","Goods-producing sector",546100
2010-10-01,"Alberta","goods","Agriculture",53700
2010-10-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",137200
2010-10-01,"Alberta","goods","Utilities",17500
2010-10-01,"Alberta","goods","Construction",207300
2010-10-01,"Alberta","goods","Manufacturing",130400
2010-10-01,"Alberta","total services","Services-producing sector",1500600
2010-10-01,"Alberta","services","Wholesale and retail trade",314700
2010-10-01,"Alberta","services","Transportation and warehousing",106100
2010-10-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",108500
2010-10-01,"Alberta","services","Professional, scientific and technical services",150800
2010-10-01,"Alberta","services","Business, building and other support services",79200
2010-10-01,"Alberta","services","Educational services",124200
2010-10-01,"Alberta","services","Health care and social assistance",220400
2010-10-01,"Alberta","services","Information, culture and recreation",68700
2010-10-01,"Alberta","services","Accommodation and food services",136800
2010-10-01,"Alberta","services","Other services (except public administration)",101600
2010-10-01,"Alberta","services","Public administration",89500
2010-11-01,"Alberta","all industries","Total employed, all industries",2040000
2010-11-01,"Alberta","total goods","Goods-producing sector",542700
2010-11-01,"Alberta","goods","Agriculture",52600
2010-11-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",140500
2010-11-01,"Alberta","goods","Utilities",15900
2010-11-01,"Alberta","goods","Construction",207800
2010-11-01,"Alberta","goods","Manufacturing",125900
2010-11-01,"Alberta","total services","Services-producing sector",1497300
2010-11-01,"Alberta","services","Wholesale and retail trade",313700
2010-11-01,"Alberta","services","Transportation and warehousing",106600
2010-11-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",104900
2010-11-01,"Alberta","services","Professional, scientific and technical services",152900
2010-11-01,"Alberta","services","Business, building and other support services",77300
2010-11-01,"Alberta","services","Educational services",125600
2010-11-01,"Alberta","services","Health care and social assistance",216400
2010-11-01,"Alberta","services","Information, culture and recreation",73200
2010-11-01,"Alberta","services","Accommodation and food services",134100
2010-11-01,"Alberta","services","Other services (except public administration)",103500
2010-11-01,"Alberta","services","Public administration",89200
2010-12-01,"Alberta","all industries","Total employed, all industries",2047700
2010-12-01,"Alberta","total goods","Goods-producing sector",541300
2010-12-01,"Alberta","goods","Agriculture",51000
2010-12-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",140200
2010-12-01,"Alberta","goods","Utilities",15900
2010-12-01,"Alberta","goods","Construction",209000
2010-12-01,"Alberta","goods","Manufacturing",125200
2010-12-01,"Alberta","total services","Services-producing sector",1506400
2010-12-01,"Alberta","services","Wholesale and retail trade",313100
2010-12-01,"Alberta","services","Transportation and warehousing",106300
2010-12-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",100500
2010-12-01,"Alberta","services","Professional, scientific and technical services",158500
2010-12-01,"Alberta","services","Business, building and other support services",79100
2010-12-01,"Alberta","services","Educational services",122800
2010-12-01,"Alberta","services","Health care and social assistance",216700
2010-12-01,"Alberta","services","Information, culture and recreation",73000
2010-12-01,"Alberta","services","Accommodation and food services",140500
2010-12-01,"Alberta","services","Other services (except public administration)",106200
2010-12-01,"Alberta","services","Public administration",89700
2011-01-01,"Alberta","all industries","Total employed, all industries",2068500
2011-01-01,"Alberta","total goods","Goods-producing sector",547500
2011-01-01,"Alberta","goods","Agriculture",51200
2011-01-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",140000
2011-01-01,"Alberta","goods","Utilities",15600
2011-01-01,"Alberta","goods","Construction",213100
2011-01-01,"Alberta","goods","Manufacturing",127500
2011-01-01,"Alberta","total services","Services-producing sector",1521000
2011-01-01,"Alberta","services","Wholesale and retail trade",316200
2011-01-01,"Alberta","services","Transportation and warehousing",110100
2011-01-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",97500
2011-01-01,"Alberta","services","Professional, scientific and technical services",157100
2011-01-01,"Alberta","services","Business, building and other support services",82800
2011-01-01,"Alberta","services","Educational services",121400
2011-01-01,"Alberta","services","Health care and social assistance",220600
2011-01-01,"Alberta","services","Information, culture and recreation",73700
2011-01-01,"Alberta","services","Accommodation and food services",139700
2011-01-01,"Alberta","services","Other services (except public administration)",108800
2011-01-01,"Alberta","services","Public administration",93200
2011-02-01,"Alberta","all industries","Total employed, all industries",2081900
2011-02-01,"Alberta","total goods","Goods-producing sector",554100
2011-02-01,"Alberta","goods","Agriculture",53700
2011-02-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",138100
2011-02-01,"Alberta","goods","Utilities",15100
2011-02-01,"Alberta","goods","Construction",215200
2011-02-01,"Alberta","goods","Manufacturing",131900
2011-02-01,"Alberta","total services","Services-producing sector",1527900
2011-02-01,"Alberta","services","Wholesale and retail trade",311800
2011-02-01,"Alberta","services","Transportation and warehousing",108100
2011-02-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",97700
2011-02-01,"Alberta","services","Professional, scientific and technical services",159300
2011-02-01,"Alberta","services","Business, building and other support services",77800
2011-02-01,"Alberta","services","Educational services",128400
2011-02-01,"Alberta","services","Health care and social assistance",228200
2011-02-01,"Alberta","services","Information, culture and recreation",73400
2011-02-01,"Alberta","services","Accommodation and food services",141600
2011-02-01,"Alberta","services","Other services (except public administration)",109000
2011-02-01,"Alberta","services","Public administration",92500
2011-03-01,"Alberta","all industries","Total employed, all industries",2083500
2011-03-01,"Alberta","total goods","Goods-producing sector",566900
2011-03-01,"Alberta","goods","Agriculture",53000
2011-03-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",145300
2011-03-01,"Alberta","goods","Utilities",13000
2011-03-01,"Alberta","goods","Construction",219200
2011-03-01,"Alberta","goods","Manufacturing",136500
2011-03-01,"Alberta","total services","Services-producing sector",1516600
2011-03-01,"Alberta","services","Wholesale and retail trade",312500
2011-03-01,"Alberta","services","Transportation and warehousing",106400
2011-03-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",97100
2011-03-01,"Alberta","services","Professional, scientific and technical services",160300
2011-03-01,"Alberta","services","Business, building and other support services",78200
2011-03-01,"Alberta","services","Educational services",124300
2011-03-01,"Alberta","services","Health care and social assistance",221500
2011-03-01,"Alberta","services","Information, culture and recreation",73100
2011-03-01,"Alberta","services","Accommodation and food services",146000
2011-03-01,"Alberta","services","Other services (except public administration)",108500
2011-03-01,"Alberta","services","Public administration",88700
2011-04-01,"Alberta","all industries","Total employed, all industries",2074900
2011-04-01,"Alberta","total goods","Goods-producing sector",568300
2011-04-01,"Alberta","goods","Agriculture",52900
2011-04-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",146400
2011-04-01,"Alberta","goods","Utilities",15400
2011-04-01,"Alberta","goods","Construction",216600
2011-04-01,"Alberta","goods","Manufacturing",137000
2011-04-01,"Alberta","total services","Services-producing sector",1506600
2011-04-01,"Alberta","services","Wholesale and retail trade",309100
2011-04-01,"Alberta","services","Transportation and warehousing",107200
2011-04-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",98500
2011-04-01,"Alberta","services","Professional, scientific and technical services",159200
2011-04-01,"Alberta","services","Business, building and other support services",78600
2011-04-01,"Alberta","services","Educational services",123600
2011-04-01,"Alberta","services","Health care and social assistance",218600
2011-04-01,"Alberta","services","Information, culture and recreation",70900
2011-04-01,"Alberta","services","Accommodation and food services",145100
2011-04-01,"Alberta","services","Other services (except public administration)",105900
2011-04-01,"Alberta","services","Public administration",90000
2011-05-01,"Alberta","all industries","Total employed, all industries",2075100
2011-05-01,"Alberta","total goods","Goods-producing sector",575100
2011-05-01,"Alberta","goods","Agriculture",54800
2011-05-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",144000
2011-05-01,"Alberta","goods","Utilities",15800
2011-05-01,"Alberta","goods","Construction",223900
2011-05-01,"Alberta","goods","Manufacturing",136700
2011-05-01,"Alberta","total services","Services-producing sector",1500000
2011-05-01,"Alberta","services","Wholesale and retail trade",312800
2011-05-01,"Alberta","services","Transportation and warehousing",105400
2011-05-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",95500
2011-05-01,"Alberta","services","Professional, scientific and technical services",156800
2011-05-01,"Alberta","services","Business, building and other support services",76000
2011-05-01,"Alberta","services","Educational services",124700
2011-05-01,"Alberta","services","Health care and social assistance",223200
2011-05-01,"Alberta","services","Information, culture and recreation",76000
2011-05-01,"Alberta","services","Accommodation and food services",138000
2011-05-01,"Alberta","services","Other services (except public administration)",102300
2011-05-01,"Alberta","services","Public administration",89100
2011-06-01,"Alberta","all industries","Total employed, all industries",2095000
2011-06-01,"Alberta","total goods","Goods-producing sector",569700
2011-06-01,"Alberta","goods","Agriculture",58600
2011-06-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",144700
2011-06-01,"Alberta","goods","Utilities",16000
2011-06-01,"Alberta","goods","Construction",212100
2011-06-01,"Alberta","goods","Manufacturing",138300
2011-06-01,"Alberta","total services","Services-producing sector",1525400
2011-06-01,"Alberta","services","Wholesale and retail trade",315600
2011-06-01,"Alberta","services","Transportation and warehousing",112000
2011-06-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",97900
2011-06-01,"Alberta","services","Professional, scientific and technical services",157200
2011-06-01,"Alberta","services","Business, building and other support services",76300
2011-06-01,"Alberta","services","Educational services",127800
2011-06-01,"Alberta","services","Health care and social assistance",232500
2011-06-01,"Alberta","services","Information, culture and recreation",73700
2011-06-01,"Alberta","services","Accommodation and food services",141000
2011-06-01,"Alberta","services","Other services (except public administration)",102300
2011-06-01,"Alberta","services","Public administration",89000
2011-07-01,"Alberta","all industries","Total employed, all industries",2112000
2011-07-01,"Alberta","total goods","Goods-producing sector",574700
2011-07-01,"Alberta","goods","Agriculture",57300
2011-07-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",144000
2011-07-01,"Alberta","goods","Utilities",14900
2011-07-01,"Alberta","goods","Construction",220300
2011-07-01,"Alberta","goods","Manufacturing",138200
2011-07-01,"Alberta","total services","Services-producing sector",1537200
2011-07-01,"Alberta","services","Wholesale and retail trade",319600
2011-07-01,"Alberta","services","Transportation and warehousing",109500
2011-07-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",96900
2011-07-01,"Alberta","services","Professional, scientific and technical services",158900
2011-07-01,"Alberta","services","Business, building and other support services",75500
2011-07-01,"Alberta","services","Educational services",131100
2011-07-01,"Alberta","services","Health care and social assistance",231000
2011-07-01,"Alberta","services","Information, culture and recreation",77400
2011-07-01,"Alberta","services","Accommodation and food services",140600
2011-07-01,"Alberta","services","Other services (except public administration)",106000
2011-07-01,"Alberta","services","Public administration",90800
2011-08-01,"Alberta","all industries","Total employed, all industries",2124600
2011-08-01,"Alberta","total goods","Goods-producing sector",584000
2011-08-01,"Alberta","goods","Agriculture",59100
2011-08-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",144600
2011-08-01,"Alberta","goods","Utilities",14300
2011-08-01,"Alberta","goods","Construction",227400
2011-08-01,"Alberta","goods","Manufacturing",138600
2011-08-01,"Alberta","total services","Services-producing sector",1540600
2011-08-01,"Alberta","services","Wholesale and retail trade",322300
2011-08-01,"Alberta","services","Transportation and warehousing",113700
2011-08-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",97200
2011-08-01,"Alberta","services","Professional, scientific and technical services",160000
2011-08-01,"Alberta","services","Business, building and other support services",79200
2011-08-01,"Alberta","services","Educational services",123400
2011-08-01,"Alberta","services","Health care and social assistance",230600
2011-08-01,"Alberta","services","Information, culture and recreation",79100
2011-08-01,"Alberta","services","Accommodation and food services",136700
2011-08-01,"Alberta","services","Other services (except public administration)",106000
2011-08-01,"Alberta","services","Public administration",92500
2011-09-01,"Alberta","all industries","Total employed, all industries",2122400
2011-09-01,"Alberta","total goods","Goods-producing sector",582400
2011-09-01,"Alberta","goods","Agriculture",59400
2011-09-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",150300
2011-09-01,"Alberta","goods","Utilities",12400
2011-09-01,"Alberta","goods","Construction",224400
2011-09-01,"Alberta","goods","Manufacturing",135900
2011-09-01,"Alberta","total services","Services-producing sector",1540000
2011-09-01,"Alberta","services","Wholesale and retail trade",318900
2011-09-01,"Alberta","services","Transportation and warehousing",115000
2011-09-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",97700
2011-09-01,"Alberta","services","Professional, scientific and technical services",162100
2011-09-01,"Alberta","services","Business, building and other support services",79000
2011-09-01,"Alberta","services","Educational services",121100
2011-09-01,"Alberta","services","Health care and social assistance",228900
2011-09-01,"Alberta","services","Information, culture and recreation",73600
2011-09-01,"Alberta","services","Accommodation and food services",141800
2011-09-01,"Alberta","services","Other services (except public administration)",108500
2011-09-01,"Alberta","services","Public administration",93300
2011-10-01,"Alberta","all industries","Total employed, all industries",2131700
2011-10-01,"Alberta","total goods","Goods-producing sector",581500
2011-10-01,"Alberta","goods","Agriculture",60900
2011-10-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",151200
2011-10-01,"Alberta","goods","Utilities",10800
2011-10-01,"Alberta","goods","Construction",224200
2011-10-01,"Alberta","goods","Manufacturing",134400
2011-10-01,"Alberta","total services","Services-producing sector",1550200
2011-10-01,"Alberta","services","Wholesale and retail trade",324600
2011-10-01,"Alberta","services","Transportation and warehousing",114900
2011-10-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",97200
2011-10-01,"Alberta","services","Professional, scientific and technical services",159300
2011-10-01,"Alberta","services","Business, building and other support services",77100
2011-10-01,"Alberta","services","Educational services",122800
2011-10-01,"Alberta","services","Health care and social assistance",233900
2011-10-01,"Alberta","services","Information, culture and recreation",77400
2011-10-01,"Alberta","services","Accommodation and food services",145600
2011-10-01,"Alberta","services","Other services (except public administration)",106500
2011-10-01,"Alberta","services","Public administration",90800
2011-11-01,"Alberta","all industries","Total employed, all industries",2137200
2011-11-01,"Alberta","total goods","Goods-producing sector",589400
2011-11-01,"Alberta","goods","Agriculture",57500
2011-11-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",158200
2011-11-01,"Alberta","goods","Utilities",12400
2011-11-01,"Alberta","goods","Construction",228200
2011-11-01,"Alberta","goods","Manufacturing",133200
2011-11-01,"Alberta","total services","Services-producing sector",1547700
2011-11-01,"Alberta","services","Wholesale and retail trade",317800
2011-11-01,"Alberta","services","Transportation and warehousing",118100
2011-11-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",1e+05
2011-11-01,"Alberta","services","Professional, scientific and technical services",162300
2011-11-01,"Alberta","services","Business, building and other support services",72200
2011-11-01,"Alberta","services","Educational services",123400
2011-11-01,"Alberta","services","Health care and social assistance",231300
2011-11-01,"Alberta","services","Information, culture and recreation",78800
2011-11-01,"Alberta","services","Accommodation and food services",144000
2011-11-01,"Alberta","services","Other services (except public administration)",108100
2011-11-01,"Alberta","services","Public administration",91800
2011-12-01,"Alberta","all industries","Total employed, all industries",2147600
2011-12-01,"Alberta","total goods","Goods-producing sector",594600
2011-12-01,"Alberta","goods","Agriculture",55400
2011-12-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",162800
2011-12-01,"Alberta","goods","Utilities",12400
2011-12-01,"Alberta","goods","Construction",227700
2011-12-01,"Alberta","goods","Manufacturing",136200
2011-12-01,"Alberta","total services","Services-producing sector",1553000
2011-12-01,"Alberta","services","Wholesale and retail trade",322500
2011-12-01,"Alberta","services","Transportation and warehousing",116300
2011-12-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",97800
2011-12-01,"Alberta","services","Professional, scientific and technical services",166100
2011-12-01,"Alberta","services","Business, building and other support services",71900
2011-12-01,"Alberta","services","Educational services",123600
2011-12-01,"Alberta","services","Health care and social assistance",237600
2011-12-01,"Alberta","services","Information, culture and recreation",75500
2011-12-01,"Alberta","services","Accommodation and food services",140200
2011-12-01,"Alberta","services","Other services (except public administration)",109700
2011-12-01,"Alberta","services","Public administration",91700
2012-01-01,"Alberta","all industries","Total employed, all industries",2141500
2012-01-01,"Alberta","total goods","Goods-producing sector",593100
2012-01-01,"Alberta","goods","Agriculture",55500
2012-01-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",164400
2012-01-01,"Alberta","goods","Utilities",12400
2012-01-01,"Alberta","goods","Construction",226400
2012-01-01,"Alberta","goods","Manufacturing",134400
2012-01-01,"Alberta","total services","Services-producing sector",1548400
2012-01-01,"Alberta","services","Wholesale and retail trade",322300
2012-01-01,"Alberta","services","Transportation and warehousing",117400
2012-01-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",96700
2012-01-01,"Alberta","services","Professional, scientific and technical services",166200
2012-01-01,"Alberta","services","Business, building and other support services",70100
2012-01-01,"Alberta","services","Educational services",122700
2012-01-01,"Alberta","services","Health care and social assistance",238400
2012-01-01,"Alberta","services","Information, culture and recreation",73300
2012-01-01,"Alberta","services","Accommodation and food services",142200
2012-01-01,"Alberta","services","Other services (except public administration)",106300
2012-01-01,"Alberta","services","Public administration",92600
2012-02-01,"Alberta","all industries","Total employed, all industries",2141400
2012-02-01,"Alberta","total goods","Goods-producing sector",604900
2012-02-01,"Alberta","goods","Agriculture",54800
2012-02-01,"Alberta","goods","Forestry, fishing, mining, quarrying, oil and gas",168700
2012-02-01,"Alberta","goods","Utilities",12000
2012-02-01,"Alberta","goods","Construction",236700
2012-02-01,"Alberta","goods","Manufacturing",132600
2012-02-01,"Alberta","total services","Services-producing sector",1536500
2012-02-01,"Alberta","services","Wholesale and retail trade",325500
2012-02-01,"Alberta","services","Transportation and warehousing",113400
2012-02-01,"Alberta","services","Finance, insurance, real estate, rental and leasing",93400
2012-02-01,"Alberta","services","Professional, scientific and technical services",161600
2012-02-01,"Alberta","services","Business, building and other support services",73400
2012-02-01,"Alberta","services","Educational services",122200
2012-02-01,"Alberta","services","Health care and social assistance",237100
2012-02-01,"Alberta","services","Information, culture and recreation",71600
2012-02-01,"Alberta","services","Accommodation and food services",142700
2012-02-01,"Alberta","services","Other services (except public administration)",103200
2012-02-01,"Alberta","services","Public administration",92700
2012-03-01,"Alberta","all industries","Total employed, all industries",2155200
2012-03-01,"Alberta","total goods","Goods-producing sector",608200
