"date","year","GEO","naics","value"
2010-05-01,2010,"Alberta","Professional, scientific and technical services [54]",150200
2010-05-01,2010,"Alberta","Business, building and other support services [55-56]",73200
2010-05-01,2010,"Alberta","Educational services [61]",124400
2010-05-01,2010,"Alberta","Health care and social assistance [62]",213400
2010-05-01,2010,"Alberta","Information, culture and recreation [51, 71]",78700
2010-05-01,2010,"Alberta","Accommodation and food services [72]",133000
2010-05-01,2010,"Alberta","Other services (except public administration) [81]",95900
2010-05-01,2010,"Alberta","Public administration [91]",92000
2010-06-01,2010,"Alberta","Total employed, all industries",2036400
2010-06-01,2010,"Alberta","Goods-producing sector",539600
2010-06-01,2010,"Alberta","Agriculture [111-112, 1100, 1151-1152]",50200
2010-06-01,2010,"Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",137000
2010-06-01,2010,"Alberta","Utilities [22]",16900
2010-06-01,2010,"Alberta","Construction [23]",204800
2010-06-01,2010,"Alberta","Manufacturing [31-33]",130700
2010-06-01,2010,"Alberta","Services-producing sector",1496700
2010-06-01,2010,"Alberta","Wholesale and retail trade [41, 44-45]",311400
2010-06-01,2010,"Alberta","Transportation and warehousing [48-49]",110300
2010-06-01,2010,"Alberta","Finance, insurance, real estate, rental and leasing [52-53]",111000
2010-06-01,2010,"Alberta","Professional, scientific and technical services [54]",149000
2010-06-01,2010,"Alberta","Business, building and other support services [55-56]",75800
2010-06-01,2010,"Alberta","Educational services [61]",123100
2010-06-01,2010,"Alberta","Health care and social assistance [62]",219600
2010-06-01,2010,"Alberta","Information, culture and recreation [51, 71]",76600
2010-06-01,2010,"Alberta","Accommodation and food services [72]",129400
2010-06-01,2010,"Alberta","Other services (except public administration) [81]",98400
2010-06-01,2010,"Alberta","Public administration [91]",92100
2010-07-01,2010,"Alberta","Total employed, all industries",2035600
2010-07-01,2010,"Alberta","Goods-producing sector",538900
2010-07-01,2010,"Alberta","Agriculture [111-112, 1100, 1151-1152]",53200
2010-07-01,2010,"Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",140700
2010-07-01,2010,"Alberta","Utilities [22]",17500
2010-07-01,2010,"Alberta","Construction [23]",199800
2010-07-01,2010,"Alberta","Manufacturing [31-33]",127600
2010-07-01,2010,"Alberta","Services-producing sector",1496700
2010-07-01,2010,"Alberta","Wholesale and retail trade [41, 44-45]",309600
2010-07-01,2010,"Alberta","Transportation and warehousing [48-49]",110100
2010-07-01,2010,"Alberta","Finance, insurance, real estate, rental and leasing [52-53]",110800
2010-07-01,2010,"Alberta","Professional, scientific and technical services [54]",145500
2010-07-01,2010,"Alberta","Business, building and other support services [55-56]",73200
2010-07-01,2010,"Alberta","Educational services [61]",123000
2010-07-01,2010,"Alberta","Health care and social assistance [62]",217400
2010-07-01,2010,"Alberta","Information, culture and recreation [51, 71]",76500
2010-07-01,2010,"Alberta","Accommodation and food services [72]",132900
2010-07-01,2010,"Alberta","Other services (except public administration) [81]",103000
2010-07-01,2010,"Alberta","Public administration [91]",94700
2010-08-01,2010,"Alberta","Total employed, all industries",2035000
2010-08-01,2010,"Alberta","Goods-producing sector",540600
2010-08-01,2010,"Alberta","Agriculture [111-112, 1100, 1151-1152]",52100
2010-08-01,2010,"Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",142500
2010-08-01,2010,"Alberta","Utilities [22]",16600
2010-08-01,2010,"Alberta","Construction [23]",202200
2010-08-01,2010,"Alberta","Manufacturing [31-33]",127200
2010-08-01,2010,"Alberta","Services-producing sector",1494400
2010-08-01,2010,"Alberta","Wholesale and retail trade [41, 44-45]",315700
2010-08-01,2010,"Alberta","Transportation and warehousing [48-49]",111100
2010-08-01,2010,"Alberta","Finance, insurance, real estate, rental and leasing [52-53]",110300
2010-08-01,2010,"Alberta","Professional, scientific and technical services [54]",146000
2010-08-01,2010,"Alberta","Business, building and other support services [55-56]",68200
2010-08-01,2010,"Alberta","Educational services [61]",125400
2010-08-01,2010,"Alberta","Health care and social assistance [62]",216300
2010-08-01,2010,"Alberta","Information, culture and recreation [51, 71]",74100
2010-08-01,2010,"Alberta","Accommodation and food services [72]",133200
2010-08-01,2010,"Alberta","Other services (except public administration) [81]",101100
2010-08-01,2010,"Alberta","Public administration [91]",93000
2010-09-01,2010,"Alberta","Total employed, all industries",2035600
2010-09-01,2010,"Alberta","Goods-producing sector",547800
2010-09-01,2010,"Alberta","Agriculture [111-112, 1100, 1151-1152]",50100
2010-09-01,2010,"Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",145000
2010-09-01,2010,"Alberta","Utilities [22]",17300
2010-09-01,2010,"Alberta","Construction [23]",206600
2010-09-01,2010,"Alberta","Manufacturing [31-33]",128800
2010-09-01,2010,"Alberta","Services-producing sector",1487800
2010-09-01,2010,"Alberta","Wholesale and retail trade [41, 44-45]",323200
2010-09-01,2010,"Alberta","Transportation and warehousing [48-49]",106200
2010-09-01,2010,"Alberta","Finance, insurance, real estate, rental and leasing [52-53]",107700
2010-09-01,2010,"Alberta","Professional, scientific and technical services [54]",141700
2010-09-01,2010,"Alberta","Business, building and other support services [55-56]",74300
2010-09-01,2010,"Alberta","Educational services [61]",122100
2010-09-01,2010,"Alberta","Health care and social assistance [62]",212800
2010-09-01,2010,"Alberta","Information, culture and recreation [51, 71]",75000
2010-09-01,2010,"Alberta","Accommodation and food services [72]",136000
2010-09-01,2010,"Alberta","Other services (except public administration) [81]",98200
2010-09-01,2010,"Alberta","Public administration [91]",90700
2010-10-01,2010,"Alberta","Total employed, all industries",2046600
2010-10-01,2010,"Alberta","Goods-producing sector",546100
2010-10-01,2010,"Alberta","Agriculture [111-112, 1100, 1151-1152]",53700
2010-10-01,2010,"Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",137200
2010-10-01,2010,"Alberta","Utilities [22]",17500
2010-10-01,2010,"Alberta","Construction [23]",207300
2010-10-01,2010,"Alberta","Manufacturing [31-33]",130400
2010-10-01,2010,"Alberta","Services-producing sector",1500600
2010-10-01,2010,"Alberta","Wholesale and retail trade [41, 44-45]",314700
2010-10-01,2010,"Alberta","Transportation and warehousing [48-49]",106100
2010-10-01,2010,"Alberta","Finance, insurance, real estate, rental and leasing [52-53]",108500
2010-10-01,2010,"Alberta","Professional, scientific and technical services [54]",150800
2010-10-01,2010,"Alberta","Business, building and other support services [55-56]",79200
2010-10-01,2010,"Alberta","Educational services [61]",124200
2010-10-01,2010,"Alberta","Health care and social assistance [62]",220400
2010-10-01,2010,"Alberta","Information, culture and recreation [51, 71]",68700
2010-10-01,2010,"Alberta","Accommodation and food services [72]",136800
2010-10-01,2010,"Alberta","Other services (except public administration) [81]",101600
2010-10-01,2010,"Alberta","Public administration [91]",89500
2010-11-01,2010,"Alberta","Total employed, all industries",2040000
2010-11-01,2010,"Alberta","Goods-producing sector",542700
2010-11-01,2010,"Alberta","Agriculture [111-112, 1100, 1151-1152]",52600
2010-11-01,2010,"Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",140500
2010-11-01,2010,"Alberta","Utilities [22]",15900
2010-11-01,2010,"Alberta","Construction [23]",207800
2010-11-01,2010,"Alberta","Manufacturing [31-33]",125900
2010-11-01,2010,"Alberta","Services-producing sector",1497300
2010-11-01,2010,"Alberta","Wholesale and retail trade [41, 44-45]",313700
2010-11-01,2010,"Alberta","Transportation and warehousing [48-49]",106600
2010-11-01,2010,"Alberta","Finance, insurance, real estate, rental and leasing [52-53]",104900
2010-11-01,2010,"Alberta","Professional, scientific and technical services [54]",152900
2010-11-01,2010,"Alberta","Business, building and other support services [55-56]",77300
2010-11-01,2010,"Alberta","Educational services [61]",125600
2010-11-01,2010,"Alberta","Health care and social assistance [62]",216400
2010-11-01,2010,"Alberta","Information, culture and recreation [51, 71]",73200
2010-11-01,2010,"Alberta","Accommodation and food services [72]",134100
2010-11-01,2010,"Alberta","Other services (except public administration) [81]",103500
2010-11-01,2010,"Alberta","Public administration [91]",89200
2010-12-01,2010,"Alberta","Total employed, all industries",2047700
2010-12-01,2010,"Alberta","Goods-producing sector",541300
2010-12-01,2010,"Alberta","Agriculture [111-112, 1100, 1151-1152]",51000
2010-12-01,2010,"Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",140200
2010-12-01,2010,"Alberta","Utilities [22]",15900
2010-12-01,2010,"Alberta","Construction [23]",209000
2010-12-01,2010,"Alberta","Manufacturing [31-33]",125200
2010-12-01,2010,"Alberta","Services-producing sector",1506400
2010-12-01,2010,"Alberta","Wholesale and retail trade [41, 44-45]",313100
2010-12-01,2010,"Alberta","Transportation and warehousing [48-49]",106300
2010-12-01,2010,"Alberta","Finance, insurance, real estate, rental and leasing [52-53]",100500
2010-12-01,2010,"Alberta","Professional, scientific and technical services [54]",158500
2010-12-01,2010,"Alberta","Business, building and other support services [55-56]",79100
2010-12-01,2010,"Alberta","Educational services [61]",122800
2010-12-01,2010,"Alberta","Health care and social assistance [62]",216700
2010-12-01,2010,"Alberta","Information, culture and recreation [51, 71]",73000
2010-12-01,2010,"Alberta","Accommodation and food services [72]",140500
2010-12-01,2010,"Alberta","Other services (except public administration) [81]",106200
2010-12-01,2010,"Alberta","Public administration [91]",89700
2011-01-01,2011,"Alberta","Total employed, all industries",2068500
2011-01-01,2011,"Alberta","Goods-producing sector",547500
2011-01-01,2011,"Alberta","Agriculture [111-112, 1100, 1151-1152]",51200
2011-01-01,2011,"Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",140000
2011-01-01,2011,"Alberta","Utilities [22]",15600
2011-01-01,2011,"Alberta","Construction [23]",213100
2011-01-01,2011,"Alberta","Manufacturing [31-33]",127500
2011-01-01,2011,"Alberta","Services-producing sector",1521000
2011-01-01,2011,"Alberta","Wholesale and retail trade [41, 44-45]",316200
2011-01-01,2011,"Alberta","Transportation and warehousing [48-49]",110100
2011-01-01,2011,"Alberta","Finance, insurance, real estate, rental and leasing [52-53]",97500
2011-01-01,2011,"Alberta","Professional, scientific and technical services [54]",157100
2011-01-01,2011,"Alberta","Business, building and other support services [55-56]",82800
2011-01-01,2011,"Alberta","Educational services [61]",121400
2011-01-01,2011,"Alberta","Health care and social assistance [62]",220600
2011-01-01,2011,"Alberta","Information, culture and recreation [51, 71]",73700
2011-01-01,2011,"Alberta","Accommodation and food services [72]",139700
2011-01-01,2011,"Alberta","Other services (except public administration) [81]",108800
2011-01-01,2011,"Alberta","Public administration [91]",93200
2011-02-01,2011,"Alberta","Total employed, all industries",2081900
2011-02-01,2011,"Alberta","Goods-producing sector",554100
2011-02-01,2011,"Alberta","Agriculture [111-112, 1100, 1151-1152]",53700
2011-02-01,2011,"Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",138100
2011-02-01,2011,"Alberta","Utilities [22]",15100
2011-02-01,2011,"Alberta","Construction [23]",215200
2011-02-01,2011,"Alberta","Manufacturing [31-33]",131900
2011-02-01,2011,"Alberta","Services-producing sector",1527900
2011-02-01,2011,"Alberta","Wholesale and retail trade [41, 44-45]",311800
2011-02-01,2011,"Alberta","Transportation and warehousing [48-49]",108100
2011-02-01,2011,"Alberta","Finance, insurance, real estate, rental and leasing [52-53]",97700
2011-02-01,2011,"Alberta","Professional, scientific and technical services [54]",159300
2011-02-01,2011,"Alberta","Business, building and other support services [55-56]",77800
2011-02-01,2011,"Alberta","Educational services [61]",128400
2011-02-01,2011,"Alberta","Health care and social assistance [62]",228200
2011-02-01,2011,"Alberta","Information, culture and recreation [51, 71]",73400
2011-02-01,2011,"Alberta","Accommodation and food services [72]",141600
2011-02-01,2011,"Alberta","Other services (except public administration) [81]",109000
2011-02-01,2011,"Alberta","Public administration [91]",92500
2011-03-01,2011,"Alberta","Total employed, all industries",2083500
2011-03-01,2011,"Alberta","Goods-producing sector",566900
2011-03-01,2011,"Alberta","Agriculture [111-112, 1100, 1151-1152]",53000
2011-03-01,2011,"Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",145300
2011-03-01,2011,"Alberta","Utilities [22]",13000
2011-03-01,2011,"Alberta","Construction [23]",219200
2011-03-01,2011,"Alberta","Manufacturing [31-33]",136500
2011-03-01,2011,"Alberta","Services-producing sector",1516600
2011-03-01,2011,"Alberta","Wholesale and retail trade [41, 44-45]",312500
2011-03-01,2011,"Alberta","Transportation and warehousing [48-49]",106400
2011-03-01,2011,"Alberta","Finance, insurance, real estate, rental and leasing [52-53]",97100
2011-03-01,2011,"Alberta","Professional, scientific and technical services [54]",160300
2011-03-01,2011,"Alberta","Business, building and other support services [55-56]",78200
2011-03-01,2011,"Alberta","Educational services [61]",124300
2011-03-01,2011,"Alberta","Health care and social assistance [62]",221500
2011-03-01,2011,"Alberta","Information, culture and recreation [51, 71]",73100
2011-03-01,2011,"Alberta","Accommodation and food services [72]",146000
2011-03-01,2011,"Alberta","Other services (except public administration) [81]",108500
2011-03-01,2011,"Alberta","Public administration [91]",88700
2011-04-01,2011,"Alberta","Total employed, all industries",2074900
2011-04-01,2011,"Alberta","Goods-producing sector",568300
2011-04-01,2011,"Alberta","Agriculture [111-112, 1100, 1151-1152]",52900
2011-04-01,2011,"Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",146400
2011-04-01,2011,"Alberta","Utilities [22]",15400
2011-04-01,2011,"Alberta","Construction [23]",216600
2011-04-01,2011,"Alberta","Manufacturing [31-33]",137000
2011-04-01,2011,"Alberta","Services-producing sector",1506600
2011-04-01,2011,"Alberta","Wholesale and retail trade [41, 44-45]",309100
2011-04-01,2011,"Alberta","Transportation and warehousing [48-49]",107200
2011-04-01,2011,"Alberta","Finance, insurance, real estate, rental and leasing [52-53]",98500
2011-04-01,2011,"Alberta","Professional, scientific and technical services [54]",159200
2011-04-01,2011,"Alberta","Business, building and other support services [55-56]",78600
2011-04-01,2011,"Alberta","Educational services [61]",123600
2011-04-01,2011,"Alberta","Health care and social assistance [62]",218600
2011-04-01,2011,"Alberta","Information, culture and recreation [51, 71]",70900
2011-04-01,2011,"Alberta","Accommodation and food services [72]",145100
2011-04-01,2011,"Alberta","Other services (except public administration) [81]",105900
2011-04-01,2011,"Alberta","Public administration [91]",90000
2011-05-01,2011,"Alberta","Total employed, all industries",2075100
2011-05-01,2011,"Alberta","Goods-producing sector",575100
2011-05-01,2011,"Alberta","Agriculture [111-112, 1100, 1151-1152]",54800
2011-05-01,2011,"Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",144000
2011-05-01,2011,"Alberta","Utilities [22]",15800
2011-05-01,2011,"Alberta","Construction [23]",223900
2011-05-01,2011,"Alberta","Manufacturing [31-33]",136700
2011-05-01,2011,"Alberta","Services-producing sector",1500000
2011-05-01,2011,"Alberta","Wholesale and retail trade [41, 44-45]",312800
2011-05-01,2011,"Alberta","Transportation and warehousing [48-49]",105400
2011-05-01,2011,"Alberta","Finance, insurance, real estate, rental and leasing [52-53]",95500
2011-05-01,2011,"Alberta","Professional, scientific and technical services [54]",156800
2011-05-01,2011,"Alberta","Business, building and other support services [55-56]",76000
2011-05-01,2011,"Alberta","Educational services [61]",124700
2011-05-01,2011,"Alberta","Health care and social assistance [62]",223200
2011-05-01,2011,"Alberta","Information, culture and recreation [51, 71]",76000
2011-05-01,2011,"Alberta","Accommodation and food services [72]",138000
2011-05-01,2011,"Alberta","Other services (except public administration) [81]",102300
2011-05-01,2011,"Alberta","Public administration [91]",89100
2011-06-01,2011,"Alberta","Total employed, all industries",2095000
2011-06-01,2011,"Alberta","Goods-producing sector",569700
2011-06-01,2011,"Alberta","Agriculture [111-112, 1100, 1151-1152]",58600
2011-06-01,2011,"Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",144700
2011-06-01,2011,"Alberta","Utilities [22]",16000
2011-06-01,2011,"Alberta","Construction [23]",212100
2011-06-01,2011,"Alberta","Manufacturing [31-33]",138300
2011-06-01,2011,"Alberta","Services-producing sector",1525400
2011-06-01,2011,"Alberta","Wholesale and retail trade [41, 44-45]",315600
2011-06-01,2011,"Alberta","Transportation and warehousing [48-49]",112000
2011-06-01,2011,"Alberta","Finance, insurance, real estate, rental and leasing [52-53]",97900
2011-06-01,2011,"Alberta","Professional, scientific and technical services [54]",157200
2011-06-01,2011,"Alberta","Business, building and other support services [55-56]",76300
2011-06-01,2011,"Alberta","Educational services [61]",127800
2011-06-01,2011,"Alberta","Health care and social assistance [62]",232500
2011-06-01,2011,"Alberta","Information, culture and recreation [51, 71]",73700
2011-06-01,2011,"Alberta","Accommodation and food services [72]",141000
2011-06-01,2011,"Alberta","Other services (except public administration) [81]",102300
2011-06-01,2011,"Alberta","Public administration [91]",89000
2011-07-01,2011,"Alberta","Total employed, all industries",2112000
2011-07-01,2011,"Alberta","Goods-producing sector",574700
2011-07-01,2011,"Alberta","Agriculture [111-112, 1100, 1151-1152]",57300
2011-07-01,2011,"Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",144000
2011-07-01,2011,"Alberta","Utilities [22]",14900
2011-07-01,2011,"Alberta","Construction [23]",220300
2011-07-01,2011,"Alberta","Manufacturing [31-33]",138200
2011-07-01,2011,"Alberta","Services-producing sector",1537200
2011-07-01,2011,"Alberta","Wholesale and retail trade [41, 44-45]",319600
2011-07-01,2011,"Alberta","Transportation and warehousing [48-49]",109500
2011-07-01,2011,"Alberta","Finance, insurance, real estate, rental and leasing [52-53]",96900
2011-07-01,2011,"Alberta","Professional, scientific and technical services [54]",158900
2011-07-01,2011,"Alberta","Business, building and other support services [55-56]",75500
2011-07-01,2011,"Alberta","Educational services [61]",131100
2011-07-01,2011,"Alberta","Health care and social assistance [62]",231000
2011-07-01,2011,"Alberta","Information, culture and recreation [51, 71]",77400
2011-07-01,2011,"Alberta","Accommodation and food services [72]",140600
2011-07-01,2011,"Alberta","Other services (except public administration) [81]",106000
2011-07-01,2011,"Alberta","Public administration [91]",90800
2011-08-01,2011,"Alberta","Total employed, all industries",2124600
2011-08-01,2011,"Alberta","Goods-producing sector",584000
2011-08-01,2011,"Alberta","Agriculture [111-112, 1100, 1151-1152]",59100
2011-08-01,2011,"Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",144600
2011-08-01,2011,"Alberta","Utilities [22]",14300
2011-08-01,2011,"Alberta","Construction [23]",227400
2011-08-01,2011,"Alberta","Manufacturing [31-33]",138600
2011-08-01,2011,"Alberta","Services-producing sector",1540600
2011-08-01,2011,"Alberta","Wholesale and retail trade [41, 44-45]",322300
2011-08-01,2011,"Alberta","Transportation and warehousing [48-49]",113700
2011-08-01,2011,"Alberta","Finance, insurance, real estate, rental and leasing [52-53]",97200
2011-08-01,2011,"Alberta","Professional, scientific and technical services [54]",160000
2011-08-01,2011,"Alberta","Business, building and other support services [55-56]",79200
2011-08-01,2011,"Alberta","Educational services [61]",123400
2011-08-01,2011,"Alberta","Health care and social assistance [62]",230600
2011-08-01,2011,"Alberta","Information, culture and recreation [51, 71]",79100
2011-08-01,2011,"Alberta","Accommodation and food services [72]",136700
2011-08-01,2011,"Alberta","Other services (except public administration) [81]",106000
2011-08-01,2011,"Alberta","Public administration [91]",92500
2011-09-01,2011,"Alberta","Total employed, all industries",2122400
2011-09-01,2011,"Alberta","Goods-producing sector",582400
2011-09-01,2011,"Alberta","Agriculture [111-112, 1100, 1151-1152]",59400
2011-09-01,2011,"Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",150300
2011-09-01,2011,"Alberta","Utilities [22]",12400
2011-09-01,2011,"Alberta","Construction [23]",224400
2011-09-01,2011,"Alberta","Manufacturing [31-33]",135900
2011-09-01,2011,"Alberta","Services-producing sector",1540000
2011-09-01,2011,"Alberta","Wholesale and retail trade [41, 44-45]",318900
2011-09-01,2011,"Alberta","Transportation and warehousing [48-49]",115000
2011-09-01,2011,"Alberta","Finance, insurance, real estate, rental and leasing [52-53]",97700
2011-09-01,2011,"Alberta","Professional, scientific and technical services [54]",162100
2011-09-01,2011,"Alberta","Business, building and other support services [55-56]",79000
2011-09-01,2011,"Alberta","Educational services [61]",121100
2011-09-01,2011,"Alberta","Health care and social assistance [62]",228900
2011-09-01,2011,"Alberta","Information, culture and recreation [51, 71]",73600
2011-09-01,2011,"Alberta","Accommodation and food services [72]",141800
2011-09-01,2011,"Alberta","Other services (except public administration) [81]",108500
2011-09-01,2011,"Alberta","Public administration [91]",93300
2011-10-01,2011,"Alberta","Total employed, all industries",2131700
2011-10-01,2011,"Alberta","Goods-producing sector",581500
2011-10-01,2011,"Alberta","Agriculture [111-112, 1100, 1151-1152]",60900
2011-10-01,2011,"Alberta","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",151200
2011-10-01,2011,"Alberta","Utilities [22]",10800
2011-10-01,2011,"Alberta","Construction [23]",224200
2011-10-01,2011,"Alberta","Manufacturing [31-33]",134400
2011-10-01,2011,"Alberta","Services-producing sector",1550200
2011-10-01,2011,"Alberta","Wholesale and retail trade [41, 44-45]",324600
2011-10-01,2011,"Alberta","Transportation and warehousing [48-49]",114900
2011-10-01,2011,"Alberta","Finance, insurance, real estate, rental and leasing [52-53]",97200
2011-10-01,2011,"Alberta","Professional, scientific and technical services [54]",159300
2011-10-01,2011,"Alberta","Business, building and other support services [55-56]",77100
2011-10-01,2011,"Alberta","Educational services [61]",122800
2011-10-01,2011,"Alberta","Health care and social assistance [62]",233900
2011-10-01,2011,"Alberta","Information, culture and recreation [51, 71]",77400
2011-10-01,2011,"Alberta","Accommodation and food services [72]",145600
2011-10-01,2011,"Alberta","Other services (except public administration) [81]",106500
2011-10-01,2011,"Alberta","Public administration [91]",90800
2011-11-01,2011,"Alberta","Total employed, all industries",2137200
